イベントをスキップする	跳过事件
机拭き＿サロン	擦桌子沙龙
料理＿包丁	菜刀
洗濯物を畳む	叠洗的衣服
しゃがみ＿待機	蹲下等待
お茶＿待機	茶待机
電車座り＿待機	坐电车待机
待ち＿待機	等待待机
勉強＿待機	学习=待机
レストラン＿サーブ待機	餐厅等待发球
レストラン＿サーブ	餐厅发球
バーテン＿シャッフル	调酒师洗牌
カジノ＿トランプ	赌场扑克
テーブルマナー待機	餐桌礼仪待机
テーブルマナー食べる	餐桌礼仪
テーブルマナースープ待機	餐桌礼仪汤待机
テーブルマナースープ飲む	餐桌礼仪喝汤
--------------------仕事関連002--------------------	---------与工作相关的002---------
待機	待机
初期配布	初始分发
プレイヤーに配布１	分发给玩家1
プレイヤーに配布２	分发给玩家2
プレイヤーに配布３	分发给玩家3
プレイヤーに配布４	分发给玩家4
スプリットで配布１	分批分发1
スプリットで配布２	分期分发2
スプリットで配布３	分期分发3
スプリットで配布４	分期分发4
カード開く	打开卡片
カード移動	卡片移动
ディーラーに配布	发给经销商
頷く	点头
覗き込む	窥探
選択待ち１	等待选择1
選択待ち１終了	选择队列1结束
選択待ち２	等待选择2
選択待ち２終了	等待选择2结束
賞賛	赞赏
賞賛終了	赞誉结束
讃える	称赞
讃える終了	赞美的结束
拍手	掌声
拍手終了	掌声结束
メニューmaid1	菜单maid 1
メニューmaid2	菜单maid 2
ケーキmaid1	蛋糕maid 1
ケーキmaid2	蛋糕maid 2
マイク	麦克风
--------------------BG選択--------------------	---------BG选择---------
ライブステージ	演唱会舞台
サロン	沙龙
--------------------大道具関係--------------------	---------大道具关系
◆◆◆◆大道具削除◆◆◆◆	◆◆◆◆大道具删除◆◆
--------------------カラオケダンス_005_moe_椅子セッティング--------------------	----卡拉OK舞蹈005 moe椅子设置---------
椅子セット	椅子套件
--------------------ダンス_005_moe_マイクセッティング--------------------	---------舞蹈005 moe麦克风设置---------
マイクセット	麦克风组件
マイク（左手）	麦克风（左手）
桜扇子（右手）	樱花扇子（右手）
桜枝（右手）	樱枝（右手）
ポールダンスステージ	钢管舞舞台
ポールセット	撑杆套件
--------------------CM3D2.1_007_sdb--------------------	---------广告3D2.1 007 sdb---------
ダンス2.1_007_sdb	舞蹈2.1 007 sdb
--------------------CM3D2.1_009_tp--------------------	---------广告3D2.1 009 tp---------
ダンス2.1_009_tp	舞蹈2.1 009 tp
--------------------CM3D2.1ポールダンス--------------------	---------广告3D2.1保罗舞
ポールダンス_001	钢管舞
ポールダンス_002	钢管舞002
--------------------ダンスMC_001--------------------	---------舞蹈MC 001---------
ライブ開始a	演唱会开始a
ライブ開始b	演唱会开始b
ライブ中	演唱会中
ライブ中成功待機	实况录音中成功待机
ライブ中成功	演唱会中成功
ライブ中失敗待機	演唱会中失败待机
ライブ中失敗	演唱会中失败
ライブ終了	演唱会结束
--------------------ダンスMC_002--------------------	---------舞蹈MC 002---------
ライブ開始	演唱会开始
--------------------ダンスMC_003--------------------	---------舞蹈MC 003---------
--------------------ダンスMC_004--------------------	---------舞蹈MC 004---------
--------------------ダンスMC_005--------------------	---------舞蹈MC 005---------
--------------------CM3D2.1_選択--------------------	---------广告3D2.1选择---------
プレイモーション	播放动作
--------------------口の開閉--------------------	开闭嘴巴
フェラ_最初	口交最初
フェラ_愛情	法拉爱情
フェラ_嫌悪	口交嫌恶
ピンクバイブ_男	粉红振动男人
ビッグバイブ_男	大振动男人
アナルバイブ_男	阿纳尔巴布男人
CBL_男	CBL男人
電マ_男	电码男
ピンクバイブ_女	粉色振动女人
ビッグバイブ_女	大振动女人
アナルバイブ_女	阿纳尔巴布女人
CBL_女	CBL女人
牛乳	牛奶
ピンクバイブ_秘部装着	粉色振动安装秘部
アナルバイブ_アナル装着	肛门振动肛门安装
双頭バイブ	双头振动
双頭バイブ2	双头振动2
--------------------拘束関係--------------------	拘束关系
短い鎖付き手枷	短链手铐
鎖付き手枷(鎖一本）	带锁链的手铐（一条锁链）
後ろ手拘束具	后手拘留具
後ろ手拘束具（鎖天井向き）	后手拘留具（面向锁顶）
磔台Y字パーツ＆手枷足枷	十字架台Y字部件&手铐脚镣
磔台Y字パーツ＆手枷足枷（SMルーム2）	十字架台Y字零件&手铐脚镣（SM室2）
磔台Y字パーツ＆手枷大腿枷	十字架台Y字部件&手铐大腿枷
磔台Y字パーツ＆手枷大腿枷（SMルーム2）	十字架台Y字零件&手铐大腿枷（SM室2）
鎖付き手枷	带枷锁的手铐
バー付き足枷	带条形的脚镣
鎖付き足枷（鎖上）	带锁链的脚镣（锁链上）
鎖付き足枷（鎖下）	带锁链的脚镣（锁链下）
鎖付き足枷（鎖下外側)	带锁链的脚镣（锁链下外侧）
鎖付き大腿枷（鎖上）	带锁链的大腿枷（锁链上）
両足拘束具	双腿拘留具
SMルーム	SM房间
ギロチン	断头翁
ラブソファ	沙发
三角木馬	三角木马
拘束騎乗位椅子_男	拘束的骑乘位椅子男人
【選択へ戻る】	【返回选择】
--------------------プレイモーション--------------------	---------游戏动作---------
恋人系	恋人系
被虐系	被虐系
乱交系	乱交系
奉仕系	服务系
羞恥系	羞耻系
魅力系	魅力系
ハーレム系	后宫系
百合系	百合系
VRモーション	VR动作
--------------------※このメニューに入った時点でカスタムクリア--------------------	---------进入本菜单后完成自定义清零---------
【プレイモーションへ戻る】	【返回播放动作】
----------------------------------------恋人系----------------------------------------	恋人关系
夜伽汎用　ck_sex_hanyou	夜伽通用ck sex hanyou
まんぐり　ck_sex_manguri	圆球盒sex manguri
まんぐりアナル　ck_sex_manguriA	圆肛门ck sex manguriA
騎乗位素股　ck_sex_kijyoui_sumata	骑乘位素股k sex kijoyoui sumata
椅子拘束騎乗位　ck_sex_isu_kousoku_kijyoui	椅子拘束骑乘位ck sex isu kousoku kijoyoui
椅子拘束騎乗位アナル　ck_sex_isu_kousoku_kijyouiA	椅子拘束骑乘位肛门ck sex isu kousoku kijoyouiA
顔面騎乗位　ck_sex_ganmenkijyoui	颜面骑乘位ck sex ganmenkijoyoui
壁面立ち側位　ck_sex_hekimen_tati_sokui	壁面立侧位ck sex hekimen tati sokui
壁面立ち側位アナル　ck_sex_hekimen_tati_sokuiA	壁面立侧位肛门ck sex hekimen tati sokuiA
背面座位２　ck_sex_haimenzai2	后座2ck sex haimenzaai2
背面座位２アナル　ck_sex_haimenzai2A	背面座位2肛门ck sex haimenzai 2A
背面騎乗位2　ck_sex_haimen_kijyoui2	背面骑乘位2ck sex haimen kijoyoui2
背面騎乗位2アナル　ck_sex_haimen_kijyoui2A	背面骑乘位2肛门k sex haimen kijoyoui2A
OM_正常位　ck_OM_sex_seijyoui	OM正常位ck OM seijoyoui
OM_正常位アナル　ck_OM_sex_seijyouiA	OM正常位肛门ck OM seijoyouiA
OM_後背位　ck_OM_sex_kouhaii	OM背位ck OM sex kouhaii
OM_後背位アナル　ck_OM_sex_kouhaiiA	OM OM sex kouhaiA
OM_対面騎乗位　ck_sex_OM_taimenkijyoui	OM面对面的骑乘位ck sex OM taimenkijoyoui
OM_対面騎乗位アナル　ck_sex_OM_taimenkijyouiA	OM面对面的骑乘位阿纳尔克sex OM taimenkijoyouiA
OM_愛撫　ck_OM_sex_aibu	OM爱抚ck OM sex aibu
OM_バイブ責め　ck_OM_sex_vibe	OM振动责备ck OM sex vibe
OM_バイブ責めアナル　ck_OM_sex_vibeA	OM振动责备肛门k OM sex vibeA
抱え込み座位　ck_sex_kakaekomizai	抱抱座位ck sex kakaekomizai
抱え込み座位アナル　ck_sex_kakaekomizaiA	抱抱座位肛门ck sex kakaekomizaaiA
OM_M_松葉　ck_sex_OM_M_matuba	OM M松叶克sex OM matuba
OM_M_松葉アナル　ck_sex_OM_M_matubaA	OM M松叶肛门ck sex OM matubaA
抱え正常位　ck_sex_OM_kakae_seijyoui	抱正常位ck sex OM kae seijoyoui
抱え正常位アナル　ck_sex_OM_kakae_seijyouiA	抱正常位肛门k sex OM kae seijoyouiA
台上対面駅弁　ck_sex_daijyou_taimenekiben	台上对面的车站便当ck sex daijoyou taimenekiben
台上対面駅弁アナル　ck_sex_daijyou_taimenekibenA	台上对面的车站便当
OM_背面座位2　ck_sex_OM_haimenzai2	OM背面座位2ck sex OM haimenzaai2
OM_背面座位2アナル　ck_sex_OM_haimenzai2A	OM背面座位2肛门ck sex OM haimenzai 2A
OM_寄り添いセックス側位　ck_sex_OM_yorisoi_sokui	OM贴近性侧位ck sex OM yorisoi sokui
OM_寄り添いセックス側位アナル　ck_sex_OM_yorisoi_sokuiA	OM贴近性方面的肛门k sex OM yorisoi sokuiA
台上後背位2　ck_sex_daijyou_kouhaii2	台上后背位2ck sex daijoyou kouhai2
台上後背位2アナル　ck_sex_daijyou_kouhaii2A	台上后背位2肛门k sex daijoyou kouhai2A
台上側位　ck_sex_daijyou_sokui	台上侧位ck sex daijoyou sokui
台上側位アナル　ck_sex_daijyou_sokuiA	台上侧位肛门ck sex daijoyou sokuiA
OM_顔面騎乗位　ck_sex_OM_ganmenkijyoui	颜面骑乘位ck sex OM ganmenkijoyoui
OM_椅子拘束騎乗位　ck_sex_OM_isu_kousoku_kijyoui	椅子拘束骑乘位ck sex OM isu kousoku kijoyoui
OM_椅子拘束騎乗位アナル　ck_sex_OM_isu_kousoku_kijyouiA	OM椅子拘束骑乘位肛门ck sex OM isu kousoku kijoyouiA
OM_まんぐり2　ck_sex_OM_manguri2	OM man 2ck sex OM manguri2
OM_まんぐり2アナル　ck_sex_OM_manguri2A	OM manguri 2肛门k sex OM manguri2A
OM_うつ伏せ後背位　ck_sex_OM_utubuse_kouhaii	俯卧后背位ck sex OM utubse kouhaii
OM_うつ伏せ後背位アナル　ck_sex_OM_utubuse_kouhaiiA	OM俯卧后背位肛门ck sex OM utubuse kouhaiA
側位3　ck_sex_sokui3	侧位3ck sex sokui3
側位3アナル　ck_sex_sokui3A	侧位3肛门ck sex sokui3A
OM_対面座位　ck_sex_OM_taimenzai	OM面对面座席k sex OM taimenzai
OM_対面座位アナル　ck_sex_OM_taimenzaiA	OM面对面的位置肛门ck sex OM taimenzaaiA
椅子対面座位　ck_sex_isutaimenzai	椅子对面座位ck sex isutaimenzai
椅子対面座位アナル　ck_sex_isutaimenzaiA	椅子对面的座位
立位2　ck_sex_ritui2	立位2ck sex ritui2
立位2アナル　ck_sex_ritui2A	立位2肛门ck sex ritui2A
OM_寄り添い愛撫　ck_sex_OM_yorisoi_aibu	OM依偎爱抚ck sex OM yorisoi aibu
挟み込み騎乗位２　ck_sex_hasamikomi_kijyoui2	夹带骑乘位2ck sex hasamikomi kijoyoui2
挟み込み騎乗位２アナル　ck_sex_hasamikomi_kijyoui2A	夹在一起的骑乘位2肛门k sex hasamikomi kijoyoui2A
テーブル後背位　ck_sex_table_kouhaii	桌子后排位ck sex table kouhaii
テーブル後背位アナル　ck_sex_table_kouhaiiA	桌子后脊位肛门ck sex table kouhaiA
手つなぎ騎乗位　ck_sex_isutaimenzai	手牵手骑乘位ck sex isutaimenzai
手つなぎ騎乗位アナル　ck_sex_isutaimenzaiA	手牵手骑乘位阿纳尔克sex isutaimenzaaiA
立ち愛撫　ck_sex_tati_aibu	爱抚ck sex tati aibu
ディープ正常位　ck_sex_deep_seijyoui	深度正常位ck sex deep seijoyoui
ディープ正常位アナル　ck_sex_deep_seijyouiA	深度正常位肛门ck sex deep seijoyouiA
OM_背面立位2　ck_sex_OM_haimenritui2	OM背面站立2ck sex OM haimenritui2
OM_背面立位2アナル　ck_sex_OM_haimenritui2A	OM背面站立位2肛门k sex OM haimenritui2A
膝立ちセックス後背位　ck_sex_hizadati_sex_kouhaii	性背脊位k sex hizaadati sex kouhaii
膝立ちセックス後背位アナル　ck_sex_hizadati_sex_kouhaiiA	性背脊肛门k sex hizaadati sex kouhaiA
甘やかし対面セックス　ck_sex_amayakasi_taimen_sex	娇生惯养的面对面做爱k sex amakasi taimen sex
甘やかし対面セックスアナル　ck_sex_amayakasi_taimen_sexA	娇生惯养的面对面性肛门ck sex amakasi taimen sexA
押し倒しモード　ck_sex_ositaosi	推倒模式ck sex ositasi
手コキ愛撫　ck_sex_tekoki_aibu	爱抚ck sex tekoki aibu
ベッドサイド正常位　ck_sex_bedside_seijyoui	床边正常位ck sex bedside seijoyoui
ベッドサイド正常位アナル　ck_sex_bedside_seijyouiA	床边正常位肛门ck sex bedside seijoyouiA
押さえつけ正常位　ck_sex_osaetuke_seijyoui	按压正常位ck sex osaetuke seijoyoui
押さえつけ正常位アナル　ck_sex_osaetuke_seijyouiA	按压正常位肛门ck sex osaetuk seijoyouiA
見せつけ騎乗位　ck_sex_misetuke_kijyoui	伪装骑乘位ck sex misetuke
見せつけ騎乗位アナル　ck_sex_misetuke_kijyouiA	查看骑乘位阿纳尔克sex misetuke kijoyouiA
見せつけ愛撫　ck_sex_misetuke_aibu	爱抚ck sex misetuke aibu
----------------------------------------被虐系----------------------------------------	被虐系-------------被虐系---------
背面立位　ck_sex_haimenritui	后排位置ck sex haimenritui
背面立位アナル　ck_sex_haimenrituiA	背面立位肛门ck sex haimenrituA
拘束セックス（ギロチン）　ck_sex_kousoku_sex	约束性（断头蛋白）ck sex kousoku sex
拘束セックスアナル（ギロチン）　ck_sex_kousoku_sexA	约束性肛门（断头）ck sex kousoku sexA
吊るしセックス　ck_sex_turusi_sex	吊起来做爱sex turusi sex
吊るしセックスアナル　ck_sex_turusi_sexA	吊的做爱肛门ck sex turusi sexA
木馬　ck_sex_mokuba	木马克sex mokuba
尻舐め　ck_sex_siriname	屁股舔ck sex sirinname
尻舐め手コキ　ck_sex_siriname_tekoki	舔屁股手kokick sex siriname tekoki
尻舐め手コキオナニー　ck_sex_siriname_tekoona	舔屁股手淫k sex sirinme tekoona
馬乗りパイズリ　ck_sex_umanori_paizuri	骑着马的自行车
拘束両穴バイブ　ck_sex_kousoku_vibe_2ana	约束双孔振动ck sex kousoku vibe 2ana
床ドンフェラ　ck_sex_yukadon_fera	床咚口交k sex yukadon fera
拘束イラマチオ両穴バイブ　ck_sex_kousoku_ir_2vibe	约束性关节炎双穴振动ck sex kousoku ir 2vibe
腕拘束正常位2　ck_sex_ude_kousoku_seijyoui2	手臂拘束正常位2ck sex ude kousoku seijoyoui2
